Date,Items Per Hour,IPH Goal,Percent,Avg Items/Min,Avg Sec/Tender,Avg Sec Btwn Cust,# Customers,Average Cart,1-Code %,Voids,Avg Item Price,Over/Under,Sales
7/23/19,981,1489.81,65.85,25,22,9,63,54.29,13,0.99,NA,NA,NA
7/24/19,1050,1408.33,74.56,30,26,5,34,37.55,24,0.91,NA,NA,NA
7/28/19,1308,1446.53,90.42,37,24,2,125,49.68,17,1.69,NA,NA,NA
7/29/19,1163,1369.16,84.94,35,25,3,132,43.21,17,1.37,NA,NA,NA
7/30/19,1193,1305.81,91.36,40,26,2,90,39.14,14,0.46,NA,NA,NA
8/4/19,1321,1402.21,94.21,42,24,3,88,46.74,11,0.52,NA,NA,NA
8/5/19,1277,1361.54,93.79,42,25,3,114,42.51,11,0.46,NA,NA,NA
8/8/19,1191,1311.42,90.82,41,26,5,176,42.29,14,0.24,NA,NA,NA
8/13/19,1211,1254.27,96.55,43,24,3,63,35.34,24,0.77,NA,NA,NA
8/14/19,1186,1254.93,94.51,42,26,2,41,33.92,15,0.91,NA,NA,NA
8/15/19,1177,1325.91,88.77,37,25,2,97,39.92,14,1.16,NA,NA,NA
8/18/19,1446,1465.41,98.68,43,22,3,112,50.35,11,0.59,NA,NA,NA
8/24/19,1308,1375.45,95.1,40,23,3,131,44.05,12,0.5,NA,NA,NA
8/25/19,1399,1462.84,95.64,43,24,4,194,51.4,7,0.29,NA,NA,NA
8/28/19,1157,1193.2,96.97,43,25,2,194,31.43,15,0.9,NA,NA,NA
8/31/19,1318,1332.77,98.89,44,23,3,105,41.76,12,0.35,NA,NA,NA
9/1/19,1539,1504.69,102.28,45,22,2,59,57.63,17,0.31,NA,NA,NA
9/7/19,1593,1433.26,111.15,54,24,2,46,46.57,22,0.35,NA,NA,NA
9/11/19,1110,1132.05,98.05,43,25,1,170,31.84,12,0.37,NA,NA,NA
9/13/19,1142,1157.14,98.69,43,25,1,93,34.65,16,0.15,NA,NA,NA
9/14/19,1445,1386.94,104.19,47,24,2,133,45.25,23,0.09,NA,NA,NA
9/15/19,1420,1393.94,101.87,47,24,2,108,45.05,22,0.42,NA,NA,NA
9/18/19,1220,1229.67,99.21,46,24,2,162,37.76,16,0.56,NA,NA,NA
9/20/19,1145,1084.7,105.56,46,23,2,46,33.28,17,0.13,NA,NA,NA
9/22/19,1656,1551.65,106.73,50,23,3,89,52.21,17,0.03,1.84,0.02,NA
9/25/19,1283,1261.24,101.73,45,24,2,101,37.37,20,0.43,2.03,0.01,NA
9/27/19,1322,1284.61,102.91,49,24,2,82,38.31,22,0.45,2.01,0.27,NA
9/28/19,1398,1352.51,103.36,49,24,3,106,43.21,15,0.17,2.05,-0.01,NA
9/29/19,1458,1476.13,98.77,46,25,3,250,50.91,18,0.34,2.01,-1.8,NA
10/2/19,1247,1269.66,98.22,47,24,3,218,38.4,12,0.36,2.06,-0.11,NA
10/4/19,1350,1354.31,99.68,47,25,3,71,40.79,15,0,1.93,-0.26,NA
10/5/19,1423,1405.28,101.26,49,24,4,295,47.41,17,0.26,2.08,0.3,NA
10/6/19,1540,1502.84,102.47,48,23,3,93,55.36,11,1.56,2.1,-0.08,NA
10/12/19,1254,1309.46,95.76,47,26,4,127,42.32,11,0.35,2.14,-0.1,NA
10/13/19,1515,1494,101.41,48,24,4,182,53.33,10,0.32,2.05,0,NA
10/16/19,1157,1143.4,101.19,50,24,5,80,31.16,16,0.21,2.02,0.05,NA
10/18/19,1093,1209.72,90.35,44,28,3,88,36.82,18,0.08,2.16,-0.01,NA
10/19/19,1308,1363.16,95.95,46,26,4,234,43.47,9,0.19,2.03,-0.38,NA
10/20/19,1516,1414.13,107.2,52,24,3,91,48.73,13,0.07,2.11,-0.05,NA
